"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-01","0.00","58","68","45"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-02","2.76","59","68","54"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-03","0.00","60","73",
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-04","0.00","54","64","46"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-05",,"53","66",
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-06","0.00","53","70","39"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-07","0.00","54","68","41"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-08","0.00","52","70","37"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-09","0.00","54","70","37"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-10","0.00","56","73","39"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-11","0.00","56","75","41"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-12","0.00","55",,"43"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-13","0.00","60","75","43"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-14","0.00","57","72","43"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-15","0.00","56","75","39"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-16","0.00","58","73","41"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-17","0.00","60",,"45"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-18","0.00","63","79","46"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-19","0.31","62",,"48"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-20","0.00","63","79","48"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-21","0.00","63","79","46"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-22","0.00","61","75","50"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-23","0.00","59","73","43"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-24","0.00","58","75","45"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-25","0.00","58","77","41"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-26","0.00","60","79","43"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-27","0.00","64","82","50"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-28","0.00","64","79","48"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-29","0.00","60","72","46"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-30","0.00","57","73","41"
"IN023351400","LUCKNOW AMAUSI, IN","1980-01-31","0.00","57","75","41"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-01","0.00","61","77","41"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-02","0.00","61","72","46"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-04","0.00","62",,"54"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-05","0.02","59","73","46"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-06","0.00","54","68","43"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-07","0.00","55","72","39"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-08","0.00","58","75","41"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-09","0.00","61","79","45"
"IN023351400","LUCKNOW AMAUSI, IN","1980-02-10","0.00","61","77","45"
